"user_id","tipo_anomalia","total_records","n_negativos","kWh_negativos_abs","n_extremos_horarios","kWh_extremos_horarios","n_dias_negativos","kWh_dias_negativos_abs","n_dias_extremos","kWh_dias_extremos","kWh_afectado_horario","pct_kWh_usuario_afectado","pct_kWh_global_afectado"
"10700285c1665a5b5098df83980ef0cfa1b1b7dcbf1a03b78a8ae2974bae8b36","extremos diarios",53605,0,0,0,0,0,0,608,164051.9669,0,0,0
"080df853bb74af1411204e1d636594d76f839683da3988ca4692742af61c5bb0","extremos diarios",21503,0,0,0,0,0,0,1,211.118,0,0,0
"1b50cff6360637ba68face729729f26485a6d0b29c281feb4acca4b18e5b4436","extremos diarios",27240,0,0,0,0,0,0,2,404.165,0,0,0
"2ec11bcc8544eca962c14977d3e9a54416f8440279724f910f4f8faa0aacc798","extremos diarios",21239,0,0,0,0,0,0,225,57464.912,0,0,0
"f00eb731c1dfa956f4c465c9643a01b9fc3f3e696e753b26c17132c7b0d90008","extremos diarios",15529,0,0,0,0,0,0,7,1527,0,0,0
"40d3fc8bdac7cf233202c4f2f36c0dbf6f8a5d153c248fac0843a2822f7cd5e2","extremos diarios",34752,0,0,0,0,0,0,10,2180.985,0,0,0
"405830bc73c6de88ece104c963df8f176974811bfa8c9850f92edc91d0016f0c","extremos diarios",11063,0,0,0,0,0,0,233,53077.743,0,0,0
"fd75411b621e196ed5b6b08b3a920ff87df2e84a8b196696a8bb5d73d5c5a0f3","extremos diarios",5255,0,0,0,0,0,0,1,206.981,0,0,0
"a7f8d2d456ac403bd3145ca3a749dc98214117a4b7c8f0c02e38c8742369db09","extremos diarios",6673,0,0,0,0,0,0,16,3369.251,0,0,0
"fe3ea99ccdc7084645feff208590bbd69d6dfc9ed7e8de97c3b3b037c578fca2","extremos diarios",30025,0,0,0,0,0,0,932,235046.899,0,0,0
"9374c65cb669b9c4a7f2230c32935ea76dbe9b1f2651e9bf88cdd25a7714d9cc","extremos diarios",29999,0,0,0,0,0,0,5,1333.191,0,0,0
"59749adfb836cf12854789da7d44b3f9e2421022ad024833295916468f49f31c","extremos diarios",9384,0,0,0,0,0,0,8,1747.958,0,0,0
"fbc47182fde67be068b76260d7eba9af683c00368658b6e1b80a0c5b7254ded2","extremos diarios",31369,0,0,0,0,0,0,756,214023.3201,0,0,0
"8c237253a3d1e8204d49d1101a9c1fcbd7d5045f91892b599f13ec616da3fb2b","extremos diarios",53232,0,0,0,0,0,0,1,200.339,0,0,0
"e65ba71644df95d6926ecf1dae2ef378f43bf0a9fbfa765bbe9d0982c85dd9d4","extremos diarios",34752,0,0,0,0,0,0,1,208.337,0,0,0
"16717b78eb670af32027cbe4f753be8a7ece056624c68004a385e05a94d5455b","extremos diarios",27744,0,0,0,0,0,0,9,2085.424,0,0,0
